Date,UAL_Open,UAL_High,UAL_Low,UAL_Close,UAL_Adj Close,UAL_Volume,oil_Close/Last,oil_Volume,oil_Open,oil_High,oil_Low
5/24/18,69.620003,70.669998,69.449997,70.470001,70.470001,2094100,70.71,628397,71.83,72,70.52
5/25/18,70.760002,72.739998,70.650002,71.68,71.68,3972500,67.88,318852,67.55,67.55,65.8
5/29/18,70.989998,71.519997,69.040001,69.519997,69.519997,2541000,66.73,1039530,66.49,67.55,65.8
5/30/18,69.580002,69.860001,68.989998,69.800003,69.800003,2945700,68.21,706987,66.85,68.67,66.35
5/31/18,69.959999,70.529999,69.199997,69.589996,69.589996,2275900,67.04,898238,68.24,68.3,66.56
6/1/18,70,70.440002,69.099998,69.25,69.25,2326000,65.81,761738,67.07,67.34,65.51
6/4/18,69.360001,70.5,69.360001,69.980003,69.980003,2450000,64.75,673684,65.71,66.04,64.57
6/5/18,69.720001,69.919998,68.57,69.32,69.32,2401800,65.52,698157,64.94,65.57,64.22
6/6/18,68.139999,70.529999,67.93,70.360001,70.360001,2698300,64.73,684475,65.51,65.96,64.27
6/7/18,70.199997,70.209999,68.919998,69.540001,69.540001,2875300,65.95,636315,65.07,66.07,64.81
6/8/18,69.370003,70.150002,69.07,69.989998,69.989998,2713200,65.74,533171,65.98,66.24,65.15
6/11/18,70.830002,73.290001,70.559998,72.150002,72.150002,4261300,66.1,523055,65.56,66.35,64.85
6/12/18,72.400002,72.75,71.419998,72.389999,72.389999,2489100,66.36,491800,66.05,66.7,65.87
6/13/18,72.870003,73.519997,72.379997,72.5,72.5,2389600,66.64,581934,66.01,66.89,65.52
6/14/18,73,74.040001,72.629997,73.019997,73.019997,2693200,66.89,438091,66.62,67.16,66.36
6/15/18,72.970001,74,72.279999,73.889999,73.889999,5148800,65.06,477500,67,67.09,64.29
6/18/18,73.339996,74.75,72.75,74.489998,74.489998,4324200,65.85,202765,64.4,65.98,63.59
6/19/18,73.800003,74.25,72.379997,73,73,3482800,65.07,89717,65.82,65.9,64.39
6/20/18,73.120003,74.610001,72.879997,74.07,74.07,2021300,66.22,23659,65.11,66.53,65.01
6/21/18,73.779999,75.440002,73.779999,74.419998,74.419998,2000900,65.54,746002,65.34,66.22,64.34
6/22/18,74.190002,75.529999,72.800003,72.940002,72.940002,3898700,68.58,1110632,65.93,69.38,65.71
6/25/18,72.800003,72.800003,70.82,71.330002,71.330002,3305200,68.08,803539,68.75,69.44,67.78
6/26/18,71.389999,71.769997,70.57,71.019997,71.019997,2366500,70.53,830608,68.21,70.91,67.72
6/27/18,71.080002,71.230003,69.529999,69.57,69.57,2633900,72.76,753845,70.68,73.06,70.56
6/28/18,69.68,69.82,68.489998,69.440002,69.440002,2236600,73.45,695499,72.27,74.03,72.2
6/29/18,69.760002,70.370003,69.639999,69.730003,69.730003,2170400,74.15,583319,73.33,74.46,72.93
7/2/18,69.400002,70.989998,69.209999,70.919998,70.919998,1932600,73.94,634439,73.62,74.35,72.51
7/3/18,69.779999,70.970001,69.400002,70.160004,70.160004,1630200,74.14,229260,74.23,74.9,73.5
7/5/18,70.550003,71.160004,70.419998,70.919998,70.919998,3860100,72.94,825300,74.35,74.9,72.53
7/6/18,71.010002,71.370003,70.57,70.959999,70.959999,2292600,73.8,586470,73.16,74.01,72.14
7/9/18,71.230003,72.190002,70.690002,71.790001,71.790001,2240800,73.85,503177,73.87,74.28,72.99
7/10/18,71.769997,71.769997,70.25,71.300003,71.300003,2681700,74.11,555311,74.04,74.7,73.65
7/11/18,70.400002,70.699997,67.940002,68.879997,68.879997,6262000,70.38,824269,74.2,74.26,70.02
7/12/18,69.529999,71.339996,68.860001,71.040001,71.040001,4584700,70.33,689519,70.6,71.24,69.23
7/13/18,70.93,72.239998,70.93,72.099998,72.099998,3067300,71.01,509080,70.38,71.66,69.84
7/16/18,72.330002,72.75,71.519997,72.260002,72.260002,3852500,68.06,509747,70.52,70.87,67.58
7/17/18,72.209999,73.18,71.980003,72.620003,72.620003,5675100,68.08,412805,68.03,68.44,67.03
7/18/18,75.599998,79.489998,75.559998,79,79,15644000,68.76,170028,67.61,69.06,67.04
7/19/18,80,80.919998,79.309998,80.589996,80.589996,10213200,69.46,68501,69,70.17,67.8
7/20/18,80.550003,81.550003,80.220001,80.910004,80.910004,4548800,68.26,17771,69.39,71.1,69.37
7/23/18,80.769997,81.910004,80.419998,81.589996,81.589996,3541200,67.89,540467,68.17,69.31,67.6
7/24/18,81.75,81.800003,79.550003,80.040001,80.040001,3847400,68.52,510486,67.8,69.05,67.56
7/25/18,80.400002,81.010002,79.940002,80.559998,80.559998,3859900,69.3,609263,68.77,69.7,68.2
7/26/18,80.449997,82.040001,80.129997,81.239998,81.239998,3915900,69.61,474198,69.38,69.92,68.92
7/27/18,81.029999,81.779999,79.599998,80.010002,80.010002,3509300,68.69,443476,69.58,69.77,68.26
7/30/18,79.620003,80.919998,79.5,80.07,80.07,3447700,70.13,447536,69.01,70.43,68.8
7/31/18,80.260002,81.059998,80.07,80.400002,80.400002,2567400,68.76,501303,70.05,70.22,67.98
8/1/18,80.769997,81.260002,79.830002,80.019997,80.019997,4605100,67.66,560487,68.43,68.52,67.31
8/2/18,79.199997,80.93,78.699997,80.849998,80.849998,2464600,68.96,514822,67.86,69.36,66.92
8/3/18,80.889999,81.639999,80.540001,81.339996,81.339996,2009100,68.49,459452,68.99,69.24,67.87
8/6/18,81.269997,82.260002,81.040001,81.830002,81.830002,2075500,69.01,480118,68.65,69.92,68.5
8/7/18,82.32,82.849998,82.019997,82.32,82.32,1816900,69.17,449468,68.9,69.83,68.81
8/8/18,82.639999,83.449997,82.410004,82.790001,82.790001,1498600,66.94,718912,69.09,69.37,66.32
8/9/18,82.910004,83.660004,82.489998,82.75,82.75,1563100,66.81,474665,66.79,67.41,66.49
8/10/18,82.25,82.330002,80.650002,81.720001,81.720001,2354100,67.63,488222,66.74,67.87,66.14
8/13/18,81.809998,82.18,80.720001,81.209999,81.209999,1832600,67.2,552021,67.78,67.95,65.71
8/14/18,81.050003,82.440002,81.019997,81.440002,81.440002,1795200,67.04,520586,67.42,68.37,66.58
8/15/18,81.260002,82.010002,80.349998,81.870003,81.870003,2542300,65.01,552757,66.62,66.9,64.51
8/16/18,82.139999,82.739998,81.040001,81.900002,81.900002,2041900,65.46,363173,64.95,65.52,64.43
8/17/18,81.690002,82.209999,81.519997,82.010002,82.010002,1671900,65.91,152081,65.47,66.39,65.3
8/20/18,82.410004,85.330002,82.129997,85.220001,85.220001,5629900,66.43,77015,65.91,66.68,65.59
8/21/18,85.470001,86.599998,85.080002,85.660004,85.660004,3152900,67.35,19352,66.62,68.1,66.52
8/22/18,85.230003,85.459999,84.370003,84.529999,84.529999,1296600,67.86,562307,66.08,68.15,65.98
8/23/18,84.599998,85.589996,84.360001,84.739998,84.739998,1365400,67.83,437663,68.07,68.12,67.32
8/24/18,84.489998,85.519997,83.709999,85.139999,85.139999,2389200,68.72,501568,67.9,69.31,67.78
8/27/18,85.699997,86.32,85.57,85.940002,85.940002,1895200,68.87,321269,68.57,68.97,68.34
8/28/18,86.040001,87.370003,85.889999,86.82,86.82,2785000,68.53,416195,68.93,69.2,68.21
